location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
6,9,0,4,0,0,3,2,2,1,0,1,0,0
27,9,1,1,0,0,3,2,2,1,0,0,0,1
3,9,0,3,0,1,2,1,2,1,0,0,0,1
0,9,1,3,0,0,3,0,1,1,0,0,0,0
22,9,0,3,0,1,0,1,2,1,0,1,0,0
11,9,1,3,0,0,3,2,2,1,0,0,1,0
7,9,0,3,0,0,3,0,1,0,0,1,0,0
4,9,1,3,0,0,3,2,2,2,0,0,0,0
28,9,0,4,0,0,3,0,1,0,0,1,0,1
1,9,1,0,0,0,3,1,2,1,0,0,0,1
23,9,0,0,0,1,2,0,1,0,0,1,0,1
12,9,1,3,0,0,3,0,2,1,0,1,1,1
8,9,0,1,0,0,3,1,1,1,0,1,0,0
6,9,1,1,0,0,3,1,2,1,0,1,0,1
29,9,0,0,0,1,0,0,1,0,0,0,0,0
5,9,0,0,0,0,3,2,2,1,0,1,0,1
43,9,1,3,0,0,3,0,1,0,0,1,0,1
6,9,1,3,0,1,2,0,0,0,0,0,0,1
13,9,1,3,0,0,3,0,2,1,0,0,1,0
9,9,0,1,0,1,1,0,1,0,0,0,0,1
7,9,0,0,0,1,2,0,0,0,0,0,0,0
18,9,1,1,0,0,3,1,1,1,0,1,0,1
21,9,0,0,0,1,2,2,2,1,0,1,0,1
2,9,1,3,0,1,0,2,2,1,0,1,0,0
10,9,0,3,0,1,2,1,2,2,0,1,0,1
20,9,0,0,0,1,0,0,0,0,0,0,0,1
28,9,0,0,0,0,3,2,2,1,0,1,0,0
16,9,1,3,0,0,3,2,2,1,0,0,1,0
17,9,0,3,0,0,3,2,2,1,0,1,0,0
10,9,0,3,0,0,3,2,1,1,0,0,0,1
36,9,1,3,0,1,1,0,0,0,0,1,1,1
8,9,1,2,0,0,3,2,1,1,0,1,0,0
12,9,1,2,0,1,0,0,0,0,0,0,0,0
3,9,1,3,0,1,0,1,2,1,0,1,0,0
33,9,1,2,0,0,3,0,2,1,0,1,0,0
21,9,1,3,0,0,3,1,2,1,0,1,0,1
6,9,1,1,0,0,3,2,1,1,0,1,1,0
17,9,1,3,0,0,3,2,1,1,0,0,1,1
4,9,1,3,0,1,1,0,0,0,0,1,1,1
11,9,0,2,0,1,1,0,0,0,0,0,0,0
9,9,0,0,0,1,1,2,2,1,0,0,0,1
32,9,0,3,0,0,3,0,2,2,0,1,0,0
4,9,1,4,0,0,3,1,2,1,0,1,0,1
33,9,1,3,0,1,1,2,2,1,0,0,0,0
40,9,1,2,0,1,0,0,1,0,0,0,1,1
18,9,0,3,0,0,3,0,0,0,0,1,0,0
12,9,0,1,0,0,3,0,0,0,0,1,0,0
