location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
10,22,0,3,1,0,3,1,1,1,1,0,0,0
6,22,1,3,1,1,0,1,2,1,1,0,0,0
3,22,1,3,1,0,3,0,0,0,1,1,0,0
0,22,1,3,1,0,3,0,1,0,1,1,0,1
6,22,1,1,1,1,2,1,2,1,1,1,0,0
16,22,0,2,1,1,1,0,0,0,1,0,0,0
15,22,0,3,1,1,1,0,0,0,1,1,0,0
11,22,0,3,1,1,0,1,2,1,1,1,0,0
12,22,1,0,1,1,0,0,1,0,1,0,1,0
7,22,1,3,1,0,3,0,1,0,1,1,0,0
4,22,0,3,1,1,1,0,0,0,1,0,0,0
36,22,1,1,1,0,3,0,1,0,1,0,0,1
1,22,0,3,1,0,3,1,1,1,1,0,0,0
15,22,0,0,1,1,1,0,0,0,1,1,0,0
25,22,0,0,1,1,0,0,2,1,1,0,0,1
24,22,1,1,1,0,3,2,1,1,1,0,1,1
12,22,0,3,1,1,0,0,1,0,1,1,0,0
9,22,1,1,1,1,0,2,2,1,1,1,0,0
8,22,1,2,1,0,3,0,1,0,1,0,0,1
6,22,0,1,1,0,3,2,2,1,1,0,0,0
5,22,0,1,1,1,0,1,2,1,1,0,0,0
16,22,1,1,1,1,0,2,1,1,1,0,0,1
28,22,1,1,1,0,3,1,1,1,1,0,1,1
13,22,1,0,1,0,3,1,1,1,1,1,1,0
42,22,0,3,1,0,3,2,2,1,1,1,0,1
9,22,0,2,1,0,3,2,2,1,1,1,0,1
7,22,0,2,1,1,1,2,2,1,1,1,0,1
35,22,1,2,1,1,0,2,2,1,1,0,0,1
26,22,0,1,1,0,3,1,2,1,1,0,0,1
2,22,0,0,1,0,3,2,2,1,1,1,0,0
34,22,1,3,1,0,3,2,2,1,1,0,0,1
12,22,1,3,1,1,1,2,2,1,1,0,0,1
16,22,1,3,1,1,2,1,2,1,1,0,1,1
10,22,1,2,1,1,0,0,0,0,1,1,0,1
6,22,0,0,1,1,0,0,0,0,1,1,0,0
8,22,1,3,1,1,2,0,2,1,1,1,0,0
3,22,1,3,1,1,1,2,2,1,1,0,0,1
17,22,1,3,1,0,3,1,2,1,1,1,0,0
24,22,1,1,1,0,3,1,1,1,1,0,0,1
17,22,0,2,1,1,2,0,2,1,1,0,0,0
11,22,0,3,1,0,3,1,2,1,1,1,0,1
2,22,0,2,1,1,2,1,2,1,1,0,0,1
9,22,0,4,1,1,0,1,2,1,1,1,0,0
4,22,0,3,1,0,3,1,1,1,1,0,0,0
27,22,0,1,1,0,3,2,2,1,1,0,0,0
34,22,1,2,1,1,2,0,2,1,1,1,0,1
38,22,1,3,1,1,2,1,2,1,1,0,1,0
18,22,1,3,1,0,3,1,2,1,1,0,1,1
27,22,0,2,1,1,2,0,0,0,1,1,0,0
