location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
33,19,0,0,1,1,0,0,1,0,0,1,0,0
20,19,0,1,1,0,3,1,2,1,0,0,0,1
10,19,1,3,1,1,1,0,0,0,0,1,1,0
6,19,0,1,1,0,3,2,2,1,0,1,0,0
3,19,0,3,1,0,3,1,2,1,0,1,0,0
0,19,0,1,1,1,2,2,1,1,0,1,0,1
13,19,0,3,1,1,1,0,1,0,0,0,0,0
11,19,0,1,1,0,3,1,2,1,0,1,0,1
11,19,0,3,1,0,3,0,1,0,0,0,0,0
7,19,1,3,1,0,3,2,2,1,0,1,0,1
4,19,1,2,1,1,2,0,1,0,0,1,0,1
9,19,1,1,1,0,3,0,0,0,0,1,0,0
1,19,1,0,1,0,3,1,2,1,0,0,0,1
15,19,1,4,1,1,1,1,2,1,0,0,0,0
12,19,0,0,1,1,0,1,2,1,0,1,0,0
26,19,1,3,1,0,3,2,2,1,0,0,1,1
8,19,1,2,1,0,3,0,0,0,0,0,0,0
6,19,1,1,1,0,3,0,0,0,0,0,0,1
5,19,1,2,1,1,1,0,1,0,0,0,0,0
13,19,0,0,1,0,3,0,0,0,0,0,0,1
9,19,0,1,1,0,3,1,1,1,0,0,0,1
7,19,1,3,1,1,1,1,2,1,0,0,0,0
2,19,1,0,1,1,2,0,0,0,0,0,0,1
28,19,1,3,1,1,0,0,2,1,0,1,0,0
10,19,0,4,1,0,3,0,1,0,0,1,0,0
16,19,1,3,1,0,3,2,2,1,0,1,1,0
26,19,0,1,1,1,2,1,2,1,0,1,0,1
10,19,1,3,1,0,3,1,2,1,0,1,0,1
8,19,1,1,1,0,3,0,0,0,0,1,0,0
3,19,1,3,1,1,0,2,2,1,0,1,0,0
34,19,1,2,1,0,3,1,1,1,0,0,0,0
26,19,0,3,1,0,3,0,1,0,0,1,0,1
24,19,1,2,1,1,1,0,1,2,0,0,1,1
17,19,1,2,1,1,2,1,1,1,0,1,1,1
11,19,0,3,1,0,3,0,1,0,0,0,0,0
9,19,1,1,1,0,3,0,1,1,0,0,0,1
4,19,1,3,1,1,0,2,1,1,0,1,0,0
18,19,0,3,1,0,3,1,2,1,0,1,0,1
16,19,1,0,1,0,3,0,2,1,0,0,1,0
12,19,1,0,1,1,2,0,1,0,0,0,0,1
9,19,1,3,1,0,3,1,2,1,0,0,0,0
10,19,0,0,1,1,0,1,2,1,0,0,0,0
6,19,1,3,1,1,1,0,0,0,0,0,0,0
18,19,1,2,1,0,3,1,1,1,0,1,0,0
26,19,1,3,1,0,3,0,1,0,0,1,1,1
19,19,1,2,1,0,3,0,1,2,0,1,1,0
27,19,0,3,1,0,3,2,2,1,0,1,0,1
13,19,1,2,1,1,2,0,1,0,0,1,0,0
11,19,0,1,1,1,1,2,2,1,0,0,0,0
7,19,1,3,1,0,3,2,1,1,0,0,0,0
4,19,0,3,1,0,3,2,2,1,0,0,0,0
20,19,1,3,1,1,1,0,1,0,0,0,1,1
16,19,0,3,1,0,3,1,2,1,0,0,0,0
12,19,1,3,1,1,1,2,2,1,0,0,0,1
8,19,1,0,1,1,2,1,2,1,0,0,0,0
21,19,0,1,1,1,0,0,0,0,0,1,0,1
17,19,0,3,1,1,2,2,2,1,0,0,0,1
41,19,1,3,1,1,2,1,2,1,0,0,1,1
